Name	Set	ImageFile	Type	Attribute	Rarity	Cost	Total Cost	Race	Trait	ATK	DEF	Divinity	Text
Pride of Knights	TTW	TTW-014	Spell: Chant-Instant	Light	Common	{W}	1						Target J/resonator you control gains [+200/+200] until end of turn. You gain 200 life.
Protection of the Fairies	TTW	TTW-015	Addition: Resonator	Light	Common	{W}	1						You may pay {W} less to play this card, if it targets a Fairy resonator. <br/>Added resonator gains [+200/+200].<br/> Banish this card: Prevent the next damage that would be dealt to target resonator until end of turn.
The Final Word	TTW	TTW-016	Spell: Chant-Instant	Light	Uncommon	{W}	1						Target blocking resonator you control gains [+1000/+1000} until end of turn.
Viviane, Lady of the Lake	TTW	TTW-017	Resonator	Light	Super	{W} {W} {1}	3	Fairy		500	700		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>{Rest}: Put a Fairy resonator with total cost 1 or less from your hand into your field.<br/> Whenever a Fairy resonator enters your field, Fairy J/resonators you control gain [+200/+200] until end of turn.
Young Knight of Gloria	TTW	TTW-018	Resonator	Light	Common	{W}	1	Knight		300	300		[Target Attack] (This card can attack recovered J/resonators.)
Barrier of Flame	TTW	TTW-019	Addition: Field	Fire	Rare	{R} {1}	2						If a normal spell you control would deal damage, it deals that much +200 instead.
Beat of the Phoenix Wings	TTW	TTW-020	Spell: Chant	Fire	Rare	{R} {1}	2						This card deals 500 damage to each resonator without [Flying]. If your J/ruler is "Sylvia Gill Palarilias", it deals 500 damage to each resonator instead.
Burn to Cinders	TTW	TTW-021	Spell: Chant-Instant	Fire	Common	{R} {R}	2						This card deals 700 damage to target J/resonator. If it's a J-ruler, it loses [Imperishable] until end of turn. If it's a resonator and it would be put into a graveyard from a field this turn, remove it from the game instead.
Caldera-Born Dragon	TTW	TTW-022	Resonator	Fire	Uncommon	{R} {R} {2}	4	Dragon		800	800		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>[Swiftness] <br/>(This card can attack and you can play its {Rest} abilities the same turn it enters a field.)
Flame Dragon Commandant	TTW	TTW-023	Resonator	Fire	Uncommon	{R} {R}	2	Human		500	500		Dragon resonators you control gain [+200/+200]. <br/>As long as you control a Dragon, this card gains [Flying].
Flame Sprite	TTW	TTW-024	Resonator	Fire	Common	{R}	1	Fairy		200	300		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>[Swiftness] (This card can attack and you can play its {Rest} abilities the same turn it enters a field.) <br/>{Rest}: This card deals 100 damage to target resonator for each Fairy you control.
Flamewing Wyvern	TTW	TTW-025	Resonator	Fire	Common	{R} {2}	3	Dragon		600	600		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>{R}: This card gains [+200/0] until end of turn.
Flash of Demon Sword	TTW	TTW-026	Spell: Chant-Standby	Fire	Common	{R} {1}	2						[Trigger] When a J/resonator you control attacks: Target resonator cannot block until end of turn. If you control a J-ruler, this card deals damage equal to its ATK to that resonator.
Guinevere, the Jealous Queen	TTW	TTW-027	Resonator	Fire	Rare	{R}	1	Queen		200	400		{Rest}, banish a resonator: Draw two cards, then discard a card. <br/>{R}, {Rest}: Target resonator you control gains [+400/+400] until end of turn. When it deals or is dealt damage this turn, banish it.
Hector de Maris, the Acolyte of Mad Demon	TTW	TTW-028	Resonator	Fire	Uncommon	{R} {1}	2	Knight of the Round Table		400	400		You may pay {R} less to play this card if you control "Lancelot, the Knight of Mad Demon". <br/>When this card enters your field, target resonator gains [+400/0] until end of turn.
Lancelot, the Knight of Mad Demon	TTW	TTW-029	Resonator	Fire	Rare	{R} {R}	2	Knight of the Round Table		600	600		[Swiftness] (This card can attack and you can play its {Rest} abilities the same turn it enters a field.) <br/>As you choose a card to attack, you must choose this card if able. <br/>Whenever this card attacks, if this card's ATK is 1000 or more, this card deals 700 damage to target resonator. <br/>{R}: This card gains [+100/0] until end of turn.
Magic Matchstick	TTW	TTW-030	Addition: Resonator	Fire	Common	{R}	1						Added Resonator gains [Swiftness] and [First Strike]. <br/>Banish this card: This card deals 200 damage to target J/resonator.
Phoenix, the Flame of the World	TTW	TTW-031	Resonator	Fire	Super	{R} {R} {R} {1}	4	Twelve Apostles/Phoenix		900	900		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>When this card enters your field, it deals 300 damage to each resonator your opponent controls. <br/>When this card is put into a graveyard from your field, you may pay {R} {R}. If you do, put this card into its owner's field.
Sylvia Gill Palarilias	TTW	TTW-032,TTW-032J	Ruler	Fire	Rare			Clan Founder					[Judgment] {R}, {G}, {2} <br/>Fire magic stones you control gain "{Rest}: Produce {G}".
Sylvia Gill Palarilias	TTW	TTW-032J,TTW-032	J-Ruler	Fire	Rare			Clan Founder/Dragon		1000	1000		[Flying] <br/>[Swiftness] <br/>When this card enters your field, it deals 1000 damage to target J/resonator. <br/>Whenever a J/resonator that was dealt damage by this card this turn is destroyed, you may recover up to three target magic stones you control.
Sylvia's Clanmate	TTW	TTW-033	Resonator	Fire	Common	{R} {1}	2	Dragon		400	400		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>Banish this card: You pay {1} less to play [Judgment] abilities of your ruler this turn. <br/>{R}: This card gains [+100/0] until end of turn.
Sylvia's Roar	TTW	TTW-034	Spell: Chant-Instant	Fire	Uncommon	{R} {1}	2						Choose one. If your J/ruler is "Sylvia Gill Palarilias" choose up to two instead - <br/>Resonators you control gain [+300/0] until end of turn;<br/> or Dragon J/resonators you control gain "Whenever this card attacks, it deals damage equal to its ATK to target resonator.' until end of turn.
The Little Match Girl	TTW	TTW-035	Resonator	Fire	Super	{R} {1}	2	Fairy Tale		600	600		[Awakening] {X}: When this card enters your field, search your main deck for up to X cards named "Magic Matchstick", reveal them and put them into your hand. Then shuffle your main deck. <br/>[Awakening] {X}: When this card enters your field, put X target cards named "Magic Matchstick" from your graveyard into your hand.<br/> Discard a card named "Magic Matchstick": This card deals 400 damage to target J/resonator.
Whelp Drake	TTW	TTW-036	Resonator	Fire	Common	{R} {1}	2	Dragon		400	400		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>When this card is put into your graveyard from your field, it deals 400 damage to target resonator.
Adombrali, the Unfathomable	TTW	TTW-037	Resonator	Water	Super	{U} {U} {1}	3	Twelve Apostles/Cthulhu		600	800		[Incarnation] {W} or {R} or {U} or {G} or {B}, {W} or {R} or {U} or {G} or {B} (You may banish any combination of two light, fire, water, wind or darkness resonators rather than pay this card's cost.) <br/>When this card enters your field, if it was played by its [Incarnation], for each different attribute among all banished resonators do the following: {W}: Gain 400 Life. {R}: This card deals 400 damage to up to one target resonator. {U}: Draw a card. {G}: Produce {W}, {R}, {U}, {G} or {B}. {B}: Your opponent loses 400 life.
All Consuming Suspicion	TTW	TTW-038	Addition: Resonator	Water	Common	{U}	1						Added resonator cannot attack resonators. <br/>Banish this card: Draw a card.
Hera, Goddess of Jealousy	TTW	TTW-039	Resonator	Water	Rare	{U} {1}	2	Goddess		500	500		When this card enters your field, you may destroy target regalia with total cost 0. If you do, draw a card.
Insomniac Dormouse	TTW	TTW-040	Resonator	Water	Common	{U} {1}	2	Fairy Tale		400	600		{U}: Put a tea party counter on each "Insomniac Dormouse", "Sane Hatter" and "September Hare" you control. <br/>{Rest}: Rest target resonator with total cost less than or equal to the number of tea party counters on this card. It doesn't recover during its controller's next recovery phase. Then remove all tea party counters from this card.
Invasion Ship, Golden Hind	TTW	TTW-041	Addition: Field	Water	Rare	{U}	1						You may choose not to recover this card during the recovery phase. <br/>{Rest}, {U} {1}: Rest target resonator. It doesn't recover during the recovery phase as long as this card is rested.
Laying the Foundation	TTW	TTW-042	Spell: Chant-Instant	Water	Common	{U} {1}	2						Draw three cards. Then put two cards from your hand on top of your deck in any order.
Leviathan, the First of the Sea	TTW	TTW-043	Resonator	Water	Super	{U} {U} {U} {3}	6	Twelve Apostles/Beast		1500	1500		When this card enters your field, discard your hand. Then return all resonators your opponent controls with total cost less than or equal to the number of cards discarded this way to their owners' hands. <br/>Banish a water magic stone: This card gains [+200/+200] until end of turn.<br/> Banish two water magic stones: This card cannot be targeted by spells or abilities your opponent controls until end of turn.<br/> Banish three water magic stones: Rest all resonators your opponent controls.
Maritime Lookout	TTW	TTW-044	Resonator	Water	Common	{U} {1}	2	Soldier		500	500		When this card enters your field, return target fire resonator to its owner's hand.
Valentina. Plotting Lord of the Seas	TTW	TTW-045,TTW-045J	Ruler	Water	Rare			Overlord					[Judgment] {W} {2} <br/>{U}, {1}: Search your main deck for a regalia, reveal it and put it into your hand. Then shuffle your main deck.
Overlord of the Seven Lands, Valentina	TTW	TTW-045J,TTW-045	J-Ruler	Water	Rare			Overlord		700	700		When this card enters your field, you may reveal any number of Seven Kings J-Rulers with different names you own from outside the game and keep them revealed until end of game. <br/>This card gains [+100/+100] for each card revealed this way and it gains all of those cards names and God's Art abilities.
Sane Hatter	TTW	TTW-046	Resonator	Water	Uncommon	{U} {2}	3	Fairy Tale		600	700		{U}: Put a tea party counter on each "Insomniac Dormouse", "Sane Hatter" and "September Hare" you control. <br/>{Rest}: Return target resonator with total cost less than or equal to the number of tea party counters on this card to its owner's hand. Then remove all tea party counters from this card.
Send Back	TTW	TTW-047	Spell: Chant	Water	Common	{U}	1						Return target addition, resonator, or regalia to its owner's hand.
September Hare	TTW	TTW-048	Resonator	Water	Uncommon	{U}	1	Fairy Tale		100	500		{U}: Put a tea party counter on each "Insomniac Dormouse", "Sane Hatter" and "September Hare" you control. <br/>{Rest}: If there are two or more tea party counters on this card, draw a card. If you do, remove all tea party counters from this card.
Suseri-hime, Goddess of Passion	TTW	TTW-049	Resonator	Water	Rare	{U} {2}	3	Goddess		200	900		{U}: Switch the ATK and DEF of this card until end of turn. <br/>{U}: This card gains [0/+100] until end of turn.
The Overlord's Baptism	TTW	TTW-050	Spell: Chant	Water	Rare	{U} {U} {2}	4						Choose a race. Return all resonators of the chosen race to their owner's hands. As long as your J-ruler is "Overlord of the Seven Lands, Valentina", you may pay {2} to play its next God's Art ability rather than pay its cost this turn.
The Overlord's Invasion Party	TTW	TTW-051	Resonator	Water	Uncommon	{U} {U}	2	Soldier		300	300		This card gains [+100/+100] for each water magic stone you control.
Valentina's Zealot	TTW	TTW-052	Resonator	Water	Common	{U}	1	Soldier		100	500		Banish this card: Your J-ruler cannot be targeted by spells or abilities until end of turn.
Wall of Ideas	TTW	TTW-053	Spell: Chant-Instant	Water	Uncommon	{U}	1						Target resonator gains [-800/0] or [0/+800] until end of turn.
Water Sprite	TTW	TTW-054	Resonator	Water	Common	{U}	1	Fairy		200	200		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>When this card enters your field, reveal the top card of your main deck. If it's a Fairy resonator, put it into your hand.
Beastly Attack	TTW	TTW-055	Spell: Chant-Instant	Wind	Common	{G} {G} {1}	3						Target attacking resonator gains [+600/+600] and "Whenever this card deals damage to a resonator, it deals that much damage to your opponent." until end of turn.
Drop of Yggdrasil	TTW	TTW-056	Addition: Resonator	Wind	Common	{G}	1						Added resonator cannot be targeted by spells or abilities your opponent controls. <br/>Banish this card: Target resonator gains [+200/+200] until end of turn.
Familiar of Refrain	TTW	TTW-057	Resonator	Wind	Common	{G} {1}	2	Beast		500	500		If magic counters would be put on your J/ruler, put that many plus one instead.
Final Forfeit	TTW	TTW-058	Spell: Chant-Instant	Wind	Uncommon	{G}	1						Target J/resonator loses all abilities and cannot gain abilities until end of turn.
Fruit of Yggdrasil	TTW	TTW-059	Resonator	Wind	Common	{G} {1}	2	Fruit		0	800		When this card enters your field, draw a card.
Holy Ground of the Four Sacred Beasts	TTW	TTW-060	Addition: Field	Wind	Rare	{G}	1						When this card enters your field, choose one - Put Target Four Sacred Beasts resonator from your graveyard into your hand; or draw a card. <br/>You may pay {1} less to play [Evolution] abilities of resonators you control.
Hraesvelgr, Drinker of Death	TTW	TTW-061	Resonator	Wind	Rare	{G} {1}	2	Beast		500	500		[Evolution] {1} Discard a Beast. (If there are no evolution counters on this card, put an evolution counter on it.) <br/>As long as there are one or more evolution counters on this card, it gains [+300/+300]. <br/>Whenever an evolution counter is put on this card, target player shuffles all magic stones from their graveyard into their magic stone deck and shuffles all other cards from their graveyard into their main deck.
Pricia, Beast Queen in Hiding	TTW	TTW-062	Resonator	Wind	Rare	{G} {G} {1}	3	Human/Beast		700	700		When this card enters your field, you may put an evolution counter on target resonator with no evolution counters on it. <br/>If a spell or ability would increase this card's ATK or DEF, it increases by double that much instead. <br/>{G}: Choose any number of attributes. This card becomes those attributes until end of turn.
Reflect, Child of Potential	TTW	TTW-063,TTW-063J	Ruler	Wind	Rare			Little Boy					[Judgment] {0} <br/>{0}: Choose one. Play this ability only once per turn - <br/>Target resonator gains [+200/+200] until end of turn. Put a magic counter on this card;  <br/>or draw a card, put a card from your hand on the bottom of your main deck. Put a magic counter on this card;  <br/>or recover target resonator at the end of turn. Put a magic counter on this card.
Refrain, Child of Convergence	TTW	TTW-063J,TTW-063	J-Ruler	Wind	Rare			Little Girl					{0}: Put this card into your ruler area, as a ruler. Play this ability only during your opponent's turn. <br/>{Rest}, remove two magic counters from this card: Return target resonator to its owner's hand. <br/>{Rest}, remove X magic counters from this card: Cancel target normal spell your opponent controls with total cost X. <br/>{Rest} remove four magic counters from this card: Search your main deck for a card and put it into your hand. Then shuffle your main deck.
Rewriting Laws	TTW	TTW-064	Spell: Chant	Wind	Common	{G} {1}	2						Magic stones you control gain "{Rest}: Produce {W}, {R}, {U}, {G} or {B}." until end of turn. Recover up to two magic stones you control. Draw a card.
Servant of Reflect	TTW	TTW-065	Resonator	Wind	Common	{G}	1	Elf		200	200		This card gains [+100/+100] for each two magic counters on your J/ruler. <br/>Remove a magic counter from your J/ruler: Return this card to its owner's hand.
Spell-Weaver Elf	TTW	TTW-066	Resonator	Wind	Uncommon	{G} {2}	3	Elf		600	600		When this card enters your field, put three magic counters on your J/ruler.
Spirit of Yggdrasil	TTW	TTW-067	Resonator	Wind	Uncommon	{G} {G} {1}	3	Spirit		600	600		Whenever an addition is added to this card, draw a card.
The Beast Queen's Counterattack	TTW	TTW-068	Spell: Chant	Wind	Rare	{G} {G}	2						Target J/resonator you control gains [+400/+400] until end of turn. Then that card and target J/resonator your opponent controls deal damage equal to their ATK to each other.
The Beast Queen's Guardian	TTW	TTW-069	Resonator	Wind	Uncommon	{G}	1	Beast		300	300		[Evolution] {G}, {1}. (If there are no evolution counters on this card, put an evolution counter on it.) <br/>As long as there are one or more evolution counters on this card, it gains [+300/+300].
Vedfolnir, Eraser of Wind	TTW	TTW-070	Resonator	Wind	Rare	{G} {G} {1}	3	Beast		700	700		[Evolution] {1} Discard a Beast. (If there are no evolution counters on this card, put an evolution counter on it.) <br/>As long as there are one or more evolution counters on this card, it gains [+300/+300] and [Target Attack]. <br/>Whenever an evolution counter is put on this card, search your main deck for a card named "Drop of Yggdrasil", reveal it and put it into your hand. Then shuffle your main deck.
Wind Sprite	TTW	TTW-071	Resonator	Wind	Common	{G}	1	Fairy		200	200		{Rest}: Produce {W}.
Ziz, the Bird that Envelopes the Sky	TTW	TTW-072	Resonator	Wind	Super	{G} {G}	2	Twelve Apostles/Beast		500	500		[Evolution] {G} {G}, {2}. (If there are no evolution counters on this card, put an evolution counter on it.) <br/>As long as there are one or more evolution counters on this card, it gains [+300/+300] and [Flying]. <br/>Whenever an evolution counter is put on this card, you may put an evolution counter on target resonator with no evolution counters on it.
Barrier of Shadows	TTW	TTW-073	Addition: Field	Dark	Rare	{B}	1						Your opponent pays {1} more to play [Judgment] or God's Art abilities. <br/>Your opponent pays {1} more to play regalia's activate abilities.
Black Ribbon	TTW	TTW-074	Addition: Resonator	Dark	Common	{B}	1						Added Resonator gains [-200/-200]. <br/>Banish this card: Target resonator gains [-400/-400] until end of turn.
Dance of the Shadows	TTW	TTW-075	Spell: Chant-Instant	Dark	Uncommon	{B} {3}	4						[Remnant] (You may play this card from your graveyard. If you do, remove it from the game instead of putting it anywhere else any time it would leave the chase.) <br/>Put target resonator from your graveyard into your field. Remove it from the game at end of turn.
Girl in Twilight Garb	TTW	TTW-076,TTW-076J	Ruler	Dark	Rare			Wanderer					[Judgment] {0}. Play this ability only if you have removed three or more cards from the game with this card's ability. <br/>{B}: Remove target card in your opponent's graveyard from the game.
Dark Alice, Maiden of Slaughter	TTW	TTW-076J,TTW-076	J-Ruler	Dark	Rare			Shadow/Knight		900	900		[Target Attack] <br/>When this card enters your field, choose a number. Destroy all resonators with total cost equal to the chosen number. <br/>God's Art [Walpurgis Night] {B} {B}: J/resonators your opponent controls gain [-200/-200]. Search your main deck for a card named "Schrodinger, the Fallen Black Cat" and put it into your field. Then shuffle your main deck. (Play God's Art [Walpurgis Night] only once per game.)
Dark Alice's Familiar	TTW	TTW-077	Resonator	Dark	Common	{B}	1	Shadow/Bat		300	200		When this card enters your field, reveal the top card of your main deck. If it's a Shadow resonator, put it into your hand.
Dark Alice's Shadow Warrior	TTW	TTW-078	Resonator	Dark	Common	{B}	1	Shadow/Soldier		300	300		Banish this card: Target resonator gains [-200/-200] until end of turn.
Dark Arla, the Shadow Wing	TTW	TTW-079	Resonator	Dark	Uncommon	{B} {2}	3	Shadow/Seven Kings		700	500		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>{B}, {1}: This card deals 600 damage to target resonator with [Flying].
Dark Faria, Shadow Princess of Ebony	TTW	TTW-080	Resonator	Dark	Super	{B} {B}	2	Shadow/Seven Kings		500	500		[Awakening] {B} {B}: When this card enters your field, destroy target resonator. <br/>Other Shadow resonators you control gain [+200/+200].<br/> Whenever this card deals damage, you gain that much life.
Dark Melgis, the Shadow Flame	TTW	TTW-081	Resonator	Dark	Uncommon	{B} {B} {2}	4	Shadow/Seven Kings		1000	1000		[Awakening] {R}: When this card enters your field, it deals 1000 damage to target resonator.
Dark Rezzard, the Dying Shadow	TTW	TTW-082	Resonator	Dark	Rare	{B} {B} {B}	3	Shadow/Seven Kings		800	800		[Stealth] You control three or more Shadow resonators. (While this card is in your chant-standby area, you may play it without paying its cost with its [Stealth] condition is met.) <br/>When this card enters your field from a chant-standby area, you may banish another resonator. If you do, your opponent discards a card and banishes a resonator.
Elisabeth, Shadow Princess of Blood	TTW	TTW-083	Resonator	Dark	Super	{B} {B} {1}	3	Shadow/Vampire		200	900		When a resonator is put into a graveyard from your opponent's field, recover this card and it gains [+400/0] until end of turn
Jeanne d'Arc, Shadow Princess of Purity	TTW	TTW-084	Resonator	Dark	Rare	{B}	1	Shadow		300	300		When a resonator is put into a graveyard from your opponent's field, rest target resonator your opponent controls.
Progenitor Demon	TTW	TTW-085	Resonator	Dark	Common	{B} {1}	2	Demon		600	300		[Flying] (This card cannot be blocked by J/resonators without [Flying].)
Recollection of Dystopia	TTW	TTW-086	Spell: Chant	Dark	Rare	{B} {B}	2						Your opponent banishes a resonator. As long as your J-ruler is "Dark Alice, Maiden of Slaughter", you may pay {B} {B} less to play its God's Art abilities this turn.
Shadow Assassin	TTW	TTW-087	Resonator	Dark	Common	{B} {B}	2	Shadow		100	500		When this card deals damage to a resonator, destroy that resonator.
Shadow Doppelganger	TTW	TTW-088	Resonator	Dark	Uncommon	{B} {3}	4	Shadow		0	0		As this card enters your field, you may remove a resonator in your graveyard from the game. If you do, this card enters your field as a copy of the card removed this way.
The Scorn of Dark Alice	TTW	TTW-089	Spell: Chant	Dark	Common	{B}	1						Look at target opponent's hand and choose a resonator. They discard that card.
Unseen Pressure	TTW	TTW-090	Spell: Chant-Instant	Dark	Common	{B}	1						Destroy target resonator with 400 or less ATK.
Dark Machina, Gliding Shadow	TTW	TTW-091	Resonator	Void	Rare	{3}	3	Shadow/Seven Kings		400	400		When this card enters your field, search your main deck for a card with no attribute, reveal it and put it into your hand. Then shuffle your main deck.
Deployable Defense Device	TTW	TTW-092	Resonator	Void	Uncommon	{3}	3	Machine		0	1200		Banish this card: Target addition or regalia cannot be destroyed until end of turn.
Mass Produced Giant Land Mine	TTW	TTW-093	Resonator	Void	Common	{2}	2	Machine		0	100		[Stealth] When a J/resonator you control is attacked. (While this card is in your chant-standby area, you may play it without paying its cost when its [Stealth] condition is met.) <br/>When this card enters your field from a chant-standby area, it deals 1000 damage to target attacking J/resonator.
Mechanical Knight	TTW	TTW-094	Resonator	Void	Common	{2}	2	Machine/Knight of the Round Table		600	600		{1}: This card gains [Target Attack] until end of turn.
Mechanical Sprite	TTW	TTW-095	Resonator	Void	Common	{1}	1	Machine/Fairy		300	300		{1}: This card gains [Flying] until end of turn.
Change the World, Orb of Illusion	TTW	TTW-096	Regalia	Void	Rare	{0}	0						{Rest}: Put a magic counter on your J/ruler. <br/>{Rest}, remove a magic counter from your J-ruler: If your J-ruler has no ATK and DEF, recover it. <br/>{G}, 'Rest', remove two magic counters from your J/ruler: Draw a card.
Excalibur, the God's Sword	TTW	TTW-097	Regalia	Void	Rare	{0}	0						Your J-ruler gains [Target Attack]. <br/>{Rest}: Your J-ruler gains [+200/+200] until end of turn. As long as it's "Faria, the Ruler of God Sword", it gains [Imperishable] until end of turn and you may pay {2} less to play its God's Art abilities this turn. <br/>Discard another card named "Excalibur, the God's Sword": Produce {W}. <br/>Banish this card: Your J-ruler gains [Imperishable] until end of turn.
Excalibur, the Spirit God's Sword	TTW	TTW-098	Regalia	Void	Rare	{2}	2						Your J-ruler gains [+100/+100] for each resonator you control. <br/>{Rest}: Produce {W}, {R}, {U}, {G} or {B}. Spend that will only to play Fairy resonators. <br/>Banish this card: Your J-ruler gains [Imperishable] until end of turn.
Laevateinn, the Demon Sword	TTW	TTW-099	Regalia	Void	Rare	{0}	0						Your J-ruler gains [Swiftness]. <br/>{Rest}: Until end of turn, if your J-ruler would deal damage, it deals that much +200 instead. As long as your J-ruler is "Melgis, the One Charmed by the Demon Sword", it gains [Imperishable] until end of turn and you may pay 2 less to play its God's Art abilities this turn. <br/>Banish a resonator: Recover this card. <br/>Discard another card named "Laevateinn, the Demon Sword": Produce {R}. <br/>Banish this card: Your J-ruler gains [Imperishable] until end of turn.
Schrodinger, the Fallen Black Cat	TTW	TTW-100	Regalia	Void	Rare	{3}	3						As long as there are five or more cards in your opponent's removed area, your J-ruler gains [+500/+500]. As long as there are ten or more cards in your opponent's removed area, your J-ruler gains [Swiftness] and [Target Attack]. <br/>{Rest}: Produce {W}, {R}, {U}, {G} or {B}. <br/>Banish this card: Your J-ruler gains [Imperishable] until end of turn.
Fairy's Memoria	TTW	TTW-101	Special Magic Stone		Rare								As this card enters your magic stone area, you may reveal a Fairy from your hand. If you don't, this card enters your magic stone area rested. <br/>{Rest}: Produce {W}. <br/>{Rest}: Produce {W}, {R}, {U}, {G}, or {B}. Spend that will only to play Fairy resonators. <br/>{W}, {Rest}: Target Fairy resonator gains [+200/+200] until end of turn.
Ruler's Memoria	TTW	TTW-102	Special Magic Stone		Rare								If you don’t control a regalia, this card enters your magic stone area rested. <br/>{Rest}: Produce {W}, {R}, {U}, {G} or {B}.
Sacred Beast's Memoria	TTW	TTW-103	Special Magic Stone		Rare								As  this card enters your magic stone area, you may reveal a Beast or Four Sacred Beasts from your hand. If you don't, this card enters your magic stone area rested. <br/>{G}, {Rest}: Target Four Sacred Beasts or Beast J/resonator gains [+200/+200] until end of turn.
Shadow's Memoria	TTW	TTW-104	Special Magic Stone		Rare								If your J/ruler isn't "Girl in Twilight Garb" or "Dark Alice, Maiden of Slaughter", this card enters your magic stone area rested. <br/>Whenever a Shadow resonator enters your field, target resonator gains [-100/0] until end of turn.
Unyielding Flame's Memoria	TTW	TTW-105	Special Magic Stone		Rare								If your opponent's life is exactly 4000, this card enters your magic stone area rested. <br/>{Rest}: Produce {R}. <br/>{Rest}: If target resonator would deal damage this turn, it deals that much + 200 instead.
Darkness Magic Stone	TTW	TTW-106	Magic Stone										{Rest}: Produce {B}.
Fire Magic Stone	TTW	TTW-107	Magic Stone										{Rest}: Produce {R}.
Light Magic Stone	TTW	TTW-108	Magic Stone										{Rest}: Produce {W}.
Water Magic Stone	TTW	TTW-109	Magic Stone										{Rest}: Produce {U}.
Wind Magic Stone	TTW	TTW-110	Magic Stone										{Rest}: Produce {G}.
Alice, the Ally of Fairies	TTW	TTW-111AR,TTW-111JAR	Ruler	Light				Wanderer					[Judgment] {7}. You may pay {1} less to play this ability for each Fairy you control. <br/>[Energize] {W} <br/>This card gains "Alice, Girl of the Lake" in addition to its other names.
Alice, Paladin of the Unwavering Hope	TTW	TTW-111JAR,TTW-111AR	J-Ruler	Light				Queen Fairy		1100	1100		[Flying] <br/>This card gains "Alice, Fairy Queen" in addition to its other names. <br/>When this card enters your field => Recover all Fairies you control. <br/>God's Art [Return to Arcadia] {W}: J/resonators you control gain [+200/+200]. Search your deck for a card named "Excalibur, the Spirit God's Sword" and put it into your field. Then shuffle your deck. (Play God's Art [Return to Arcadia] only once per game.)
Angel of Wisdom, Cherudim	TMS	TMS-001	Resonator	Light	Uncommon	{W} {1}	2	Angel		500	500		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>[Awakening] {M}: When this card enters your field, destroy target fire or darkness resonator. If you do put two [+100/+100] counters on this card.
Crescent Moon Magician	TMS	TMS-002	Resonator	Light	Rare	{W} {1}	2	Wererabbit		200	600		[Awakening] {M} {1}: When this card enters your field, it deals 600 damage to target rested resonator. If damage was dealt this way, put two [+100/+100] counters on this card.
Friend from Another World, Kaguya	TMS	TMS-003,TMS-003J	Ruler	Light/Wind	Rare			Wanderer/Little Girl					[Judgment] {W} {M} {1} <br/>You may spend {M} as though it were {G}. <br/>Whenever a Moon enters your field, you may draw a card.
Kaguya, the Moonlit Savior	TMS	TMS-003J,TMS-003	J-Ruler	Light/Wind	Rare			Wizard		700	900		You may spend {M} as though it were {G}. <br/>Whenever you awaken a card, put two [+100/+100] counters on this card. <br/>{M}: Cancel target automatic ability. <br/>{W} {1}: Prevent the next damage that would be dealt to this card this turn. <br/>God's Art [Light of the Sacred Moon] {W} {M} {3}: Rest all J/resonators your opponent controls. Then recover all magic stones you control. You may pay [Awakening] costs {M} less this turn. (Play God's Art [Light of the Sacred Moon] only once per game.)
Holy Moon of Pure Nights	TMS	TMS-004	Addition: Field (Moon)	Light	Uncommon	{W} {1}	2		Moon				J/resonators you control with [Awakening] gain [+200/+200]. <br/>{M} {2}: Rest target J-ruler.
Izanagi, Keeper of the Seal	TMS	TMS-005	Resonator	Light	Super	{W} {W} {4}	6	Myth		1100	1100		When this card enters your field, you may remove up to three target resonators and/or regalia your opponent controls from the game. <br/>When this card leaves your field for a non-field zone, put those removed cards into their owners' hands. <br/>This card gains [+300/+300] for each card in all removed areas that was removed by this card.
Kaguya's Premonition	TMS	TMS-006	Spell: Chant-Instant	Light	Common	{W}	1						Target resonator gains [+200/+400] until end of turn. <br/>[Awakening] {M}: Prevent the next damage that would be dealt to that resonator this turn. For each 100 damage prevented this way, put a [+100/+100] counter on it.
Knight of the Solstice	TMS	TMS-007	Resonator	Light	Rare	{W} {2}	3	Wererabbit		700	700		When this card enters your field, search your main deck for a Moon, reveal it and put it into your hand. Then shuffle your main deck.
Luminescent Bamboo Bullet	TMS	TMS-008	Spell: Chant	Light	Rare	{W} {1}	2						Destroy target rested resonator. Destroy up to one second target rested resonator if this card was awakened. <br/>[Awakening] {M} {1}.
Lunar Ibis	TMS	TMS-009	Resonator	Light	Common	{W}	1	Bird		300	300		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>[Awakening] {M}: When this card enters your field, recover target resonator. If you do, put two [+100/+100] counters on this card.
Moonbreeze Fairy	TMS	TMS-010	Resonator	Light	Common	{W}	1	Fairy		300	200		[Flying] (This card cannot be blocked by J/resonators without [Flying].) <br/>{M}: Fairies you control gain [+200/+200] until end of turn. Play this ability only once per turn.
